track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,track_album_release_year,track_album_release_decade
0WfKDYeUAoLA3vdvLKKWMW,Poker Face,Lady Gaga,69,2FBA8NCSuQNi8jaR2Xjbal,The Fame,2008-01-01,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.851,0.806,4,-4.618,1,0.0786,0.12,1.33e-06,0.121,0.776,119.001,237200,2008,2000s
3a94DkjR4idw3bp8yzai59,Mambo No. 5 (A Little Bit of...),Lou Bega,10,0F2v1g7RUEmK077TfZGeoS,Ultimate Holiday Hits,2008-07-25,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.614,0.799,5,-6.95,0,0.382,0.0971,0.0,0.313,0.9,174.114,219333,2008,2000s
24CXuh2WNpgeSYUOvz14jk,Sandstorm - Radio Edit,Darude,61,3EWyQlR8LFyu6FImQT49bv,Before The Storm,2007-04-18,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.539,0.98,11,-8.18,0,0.0469,0.169,0.982,0.084,0.522,136.087,225373,2007,2000s
2ZCTP54O2dMSbVrdsg60to,Barbie Girl,Aqua,5,2vb252Haz9iX4iOd7vP8kX,Greatest Hits,2009-01-01,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.764,0.948,1,-4.355,0,0.0402,0.00929,0.0773,0.416,0.911,129.967,195040,2009,2010s
1bttWPpJQmn9zdi951BcAZ,Be My Lover,La Bouche,13,4iRt5STyQudfgvq3Gt2ki6,50 Summer Hits,2009-06-11,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.657,0.913,1,-7.108,0,0.0313,0.000236,0.0,0.862,0.827,134.774,239747,2009,2010s
0MhkdVUCf8ZttUXzZ3J9J6,Another Night,Real McCoy,2,3lH40SlojmDYl4muKywyoa,Ultimate Club Dance 90s - Vol. 2,2000-01-01,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.812,0.889,7,-7.769,1,0.0394,0.11,0.00323,0.065,0.872,125.943,236871,2000,2000s
5rDsAMjmB4Qa5WNciJPsfK,Tubthumping,Chumbawamba,53,6DUy5QdkKXI15NFbk3pYAZ,Playlist: 90s Pop,2008-04-28,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.394,0.944,2,-8.082,1,0.181,0.0906,0.0,0.473,0.616,207.687,234133,2008,2000s
3L9RIFcNF9IDGPRE96EO7N,The Rhythm Of The Night,Corona,56,385wsbH2dVjZDB9rdVOHUH,Disco 90's,2009-03-16,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.69,0.805,5,-11.522,0,0.0336,0.000232,0.739,0.095,0.799,127.808,264280,2009,2010s
270MuyUHPJJUXWApRk2Py8,Macarena - Bayside Boys Remix,Los Del Rio,38,0F2v1g7RUEmK077TfZGeoS,Ultimate Holiday Hits,2008-07-25,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.746,0.909,11,-6.032,1,0.058,0.206,2.23e-06,0.0656,0.962,103.189,222027,2008,2000s
3DYVWvPh3kGwPasp7yjahc,The Sign,Ace of Base,55,0nQFgMfnmWrcWDOQqIgJL7,Greatest Hits,2008-11-14,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.802,0.828,4,-6.366,0,0.0426,0.0127,0.0683,0.0293,0.946,97.01,189787,2008,2000s
